Name;Address;Phone number
Janecek Wilhelm GesmbH;Wichtelgasse 50, 1160 Wien;+43 1 48633340
Kern Fritz Ing GesmbH;Fröbelgasse 19, 1160 Wien;+43 1 49316510
ORTHOMED Medizintechnik GmbH;Annagasse 5/1/4, 1010 Wien;+43 1 5320834
Neurodata Handels GmbH EMG & Motion;Schulzgasse 24, 1230 Wien;+43 1 6679977
tec4life Medizintechnik GmbH;Kirschenallee 57, 1220 Wien;+43 1 7741016
Limbeck Stefan;Ganghofergasse 22, 1110 Wien;+43 1 7675521-0
Dr. Schuhfried Medizintechnik GesmbH;Van-Swieten-Gasse 10, 1090 Wien;+43 1 4054206
Derma Medical Systems Handels- u Entwicklungs GmbH;Wiedner Hauptstraße 140, 1050 Wien;+43 1 3186990
Crosstec GmbH;Rotenlöwengasse 19, 1090 Wien;+43 1 3103100-00
Carl Reiner GmbH;Mariannengasse 17, 1090 Wien;+43 1 4026251-0
fairmed Medizintechnik;Au 15, 6134 Vomp;+43 5242 68144
Fairplan Medical;Au 15, 6134 Vomp;+43 5242 68144
UTS Geräte Service Ges.m.b.H.;Sendnergasse 30, 2320 Schwechat;+43 1 7061415
Dlouhy Fahrzeugbau;Kuffnergasse 3-5, 1160 Wien;+43 1 48958610
Alfred Hanusch;Ratschkygasse 23 (Ecke Ruckerg.), 1120 Wien;+43 1 81395530
boso GmbH & Co KG;Millennium Tower Handelskai 94-96/20.OG, 1200 Wien;+43 1 24027580
Alfred Hanusch;Quellenstraße 68-70, 1100 Wien;+43 1 6075955
Alfred Hanusch;Meidlinger Hauptstraße 84, 1120 Wien;+43 1 9051567
GN Hearing Austria GmbH;Wimbergergasse 14-16, 1070 Wien;+43 1 52454000
Hansaton;Hoher Markt 5, 1010 Wien;+43 1 5337512
Hansaton;Favoritenstrasse 27, 1040 Wien;+43 1 5055362
Hansaton;Zieglergasse 6, 1070 Wien;+43 1 5231557
Hansaton;Favoritenstraße 79, 1100 Wien;+43 1 5051865
Hansaton;Hietzinger Hauptstraße 18, 1130 Wien;+43 1 8797958
Hansaton;Josefstädter Straße 66-68, 1080 Wien;+43 1 4948866
Hansaton;Am Spitz 10, 1210 Wien;+43 1 2714120
Hansaton;Hütteldorferstraße 94, 1140 Wien;+43 1 9042100
Hansaton;Döblinger Hauptstraße 72/1, 1190 Wien;+43 1 9072172
Hansaton;Zentrum Hernals/Elterleinplatz 12, 1170 Wien;+43 1 9089090
Hansaton;Reinprechtsdorferstraße 44, 1050 Wien;+43 1 9076245
Hansaton;Wallensteinplatz 2, 1200 Wien;+43 1 3325332
Hansaton;Grillgasse 8 - 10, 1110 Wien;+43 1 7495200
Hansaton;Praterstraße 58, 1020 Wien;+43 1 2125836
Hansaton;Währingerstraße 5-7, 1090 Wien;+43 1 4073133
Hansaton;Mariahilfer Straße 132, 1150 Wien;+43 1 8973630
Hansaton;Doningasse 12, 1220 Wien;+43 1 2037852
Hansaton;Wagramerstraße 133, 1220 Wien;+43 1 2023635
Biotronik Vertriebs GesmbH;Am Euro-Platz 2, G/Stiege 2, 1120 Wien;+43 1 6154450-0
Stryker Austria GmbH;Wienerbergstraße 11 Vienna Twin Tower Turm A/Top 21, 1100 Wien;+43 1 8132000
GSMTM Medizintechnik u Telemedizin GmbH;Dr.-Schober-Straße 53, 1130 Wien;+43 1 5874104
HABEL Medizintechnik;Ignaz-Köck-Straße 20, 1210 Wien;+43 1 2926642-0
IB Lab GmbH;Grinzinger Allee 5, 1190 Wien;+43 1 61067-0
Dipl-Ing. Silberbauer Gerhard;Hießgasse 13-15, 1030 Wien;+43 1 7146136-0
SUN MED Medizintechnische Produkte GmbH;Jochen-Rindt-Straße 25, 1230 Wien;+43 1 6992299
VAMED Medizintechnik GmbH;Lazarettgasse 20, 1090 Wien;+43 1 40488-0
KCI Austria GmbH;Lemböckgasse 49/Stiege A/4. OG, 1230 Wien;+43 1 86330-0
Abbott Medical Austria Ges.m.b.H.;Perfektastraße 84a, 1230 Wien;+43 1 6073060
ACOM Systeme EDV u Medizintechnik GmbH;Lisseeweg 42, 1210 Wien;+43 1 2904828
ad rem team GmbH - Gesellschaft f innovative Medizinprodukte u Dienstleistungen;Auenbruggergasse 2/11, 1030 Wien;+43 1 7103165
ALLO MEDICA Medizintechnik GmbH;Absberggasse 27/9/3/11, 1100 Wien;+43 1 6021361-11
Askin & Co GesmbH;Albert-Schweitzer-Gasse 6 Block C, 1140 Wien;+43 1 9798844-0
Atomed Handelsgesellschaft mbH;Draschestraße 88, 1230 Wien;+43 1 6060580
b.e.imaging Ges.mbH;Schönbrunner Straße 222-228/3/7, 1120 Wien;+43 1 5321937-0
Becton Dickinson Austria Holdings GmbH;Rinnböckstraße 3, 1030 Wien;+43 1 7063660-0
Biolux Research GmbH;Sternwartestraße 76, 1180 Wien;+43 676 4225774
Böck Medizintechnik Handels GmbH;Shuttleworthstraße 19, 1210 Wien;+43 1 2920938
Boston Scientific GesmbH;Wienerbergstraße 11/Twin Tower A, 19. OG, 1100 Wien;+43 1 60810
Camillo GmbH;Akaziengasse 34, 1230 Wien;+43 1 9435393-50
Celon RFITT Distributor Österreich - Sanfte Krampfadern Operation;Paschinggasse 8/4/4b, 1170 Wien;+43 676 6275311
Cerner Österreich GmbH;Lassallestraße 7a/Unit4/Top7, 1020 Wien;+43 1 25300-3200
Chemomedica Medizintechnik u Arzneimittel VertriebsgesmbH;Wipplingerstraße 19, 1010 Wien;+43 1 5332666-0
CVTec Cerebrovascular Technologies GmbH;Mariahilfer Straße 136/1.10, 1150 Wien;+43 1 2367289-5110
Dahlhausen GesmbH;Großmarktstraße 7B/1. OG, 1230 Wien;+43 1 6675454
Dr. Demmer KG;Westbahnstraße 56-58, 1070 Wien;+43 1 5228080
Dräger Austria GmbH;Perfektastraße 67, 1230 Wien;+43 1 60904-0
Dunek OG;Hofherr-Schrantz-Gasse 4/12, 1210 Wien;+43 1 2702064
Ekomed Handels GesmbH;Franz-Heider-Gasse 7, 1230 Wien;+43 1 8692771-0
EMCOOLS Sports GmbH;Stoesslgasse 19, 1130 Wien;+43 1 9346888
Engler Steritech GmbH;Rotenmühlgasse 61/1, 1120 Wien;+43 1 6074169
Erbe Elektromedizin GesmbH;Modecenterstraße 14 Top B1, 1030 Wien;+43 1 8932446-0
Eumedics Medizintechnik GmbH;Scheringgasse 2, 1140 Wien;+43 1 5773560
Felsina Care GmbH;Akaziengasse 34, 1230 Wien;+43 1 9435393
Ferdinand Menzl Medizintechnik GmbH;Portheimgasse 14, 1220 Wien;+43 1 2558960-0
Fisher & Paykel Healthcare GmbH & Co KG;Wagramer Straße 19/13. Stock, 1220 Wien;0800 293123
Gedankensprung Technisches Ingenieur-Büro Pusker Baumanagement und Planung GmbH;Vierthalergasse 8/1, 1120 Wien;+43 1 8799361-0
Gepa-Med Handels GmbH;Sprengersteig 4, 1160 Wien;+43 1 4896353
Gepa-Med Medizintechnik GmbH;Römergasse 39, 1160 Wien;+43 1 4896353-0
GETINGE Österreich GmbH;Lemböckgasse 49/Haus 2d/EG, 1230 Wien;+43 1 8651487-0
Grossegger Dr & Drbal GmbH;Ruthgasse 19/1, 1190 Wien;+43 1 3681797
GSM Gesellschaft für Sicherheit in der Medizintechnik GmbH;Leitermayergasse 43, 1180 Wien;+43 1 4038490-0
Gutta Handels GmbH;Neubaugasse 40/1/10, 1070 Wien;+43 1 9619163
H.M.T. Medizintechnik Handels-GmbH;Währinger Straße 63, 1090 Wien;+43 1 4022423
Hauser M. Medizintechnik;Perfektastraße 15/5, 1230 Wien;+43 1 8654477
Heaco Medizintechnik GmbH;Hadikgasse 178, 1140 Wien;+43 1 7866161
Heintel Rudolf GesmbH;Erdbergstraße 166, 1030 Wien;+43 1 4038956-0
Hietl Matthias;Währinger Straße 188/15/3, 1180 Wien;+43 1 8899731
Holistim;Nobilegasse 23-25, 1150 Wien;+43 1 7860315
Hologic Austria GmbH;Weyringergasse 6, 1040 Wien;+43 1 5046671-0
HVD Biotech Vertriebsgesellschaft m.b.H.;Wurzbachgasse 18, 1150 Wien;+43 1 9829509
HVD Life Science Vertriebs GmbH;Wurzbachgasse 18, 1150 Wien;+43 1 9829526
HVD Vertriebs-GesmbH;Wurzbachgasse 18, 1150 Wien;+43 1 9829509-0
IB Lab GmbH;Hietzinger Hauptstraße 50, 1130 Wien;+43 1 9051206
Inovamet Systems GmbH;Hirschstettner Straße 19, 1220 Wien;+43 1 5268943
INOVAMET Vertriebs GmbH;Neubaugasse 27/2/23, 1070 Wien;+43 1 5268943
Intramed Handels GesmbH;Hügelgasse 10, 1130 Wien;+43 1 8760101-0
Johnson & Johnson Medical Product GmbH;Vorgartenstraße 206b, 1020 Wien;+43 1 36025-0
Krainer Medtechnik HandelsgesmbH;Oberlaaer Straße 222, 1100 Wien;+43 1 6884332-0
Lab Technologies Medizintechnik GmbH;Schönbrunner Straße 185, 1120 Wien;+43 1 4191027
Lang Leonhard GmbH;Feuchterslebengasse 73, 1100 Wien;+43 1 8179007
LIMET Consulting und Planung für Medizintechnik;Währinger Straße 134/9, 1180 Wien;+43 1 8902189
Liva Nova Austria GmbH;Donau-City-Straße 11, 1220 Wien;+43 1 2630855
Logic Air Medizintechnik;Favoritenstraße 4-6/15, 1040 Wien;+43 1 5053360
Löwenstein Medical Austria GmbH;Clemens-Holzmeister-Straße 4, 1100 Wien;+43 1 6151134
MacroArray Diagnostics GmbH;Gutheil-Schoder-Gasse 17, 1230 Wien;+43 1 8652573
Dipl-Ing. Mandl Elisabeth;Breitenfurter Straße 380/34, 1230 Wien;+43 1 8885939
MD Trade Medizin- u Dentalhandels-GmbH;Lhotskygasse 7, 1210 Wien;+43 1 2568540
Med Lab GmbH;Wolfgang-Pauli-Gasse 5, 1140 Wien;+43 1 8179050
MED-EL Elektromedizinische Geräte GesmbH;Fürstengasse 1, 1090 Wien;+43 1 3172400
Medizintechnik Höller GmbH;Kellermanngasse 8/Top 4, 1070 Wien;+43 1 5325879-10
Medizintechnische Produkte - Johannes Zodl;Märzstraße 49, 1150 Wien;+43 1 9835060
MEDLINE Medizintechnik GmbH;Haberlgasse 41, 1160 Wien;+43 664 3026765
medmobile GmbH;Alszeile 103, 1170 Wien;+43 1 2288875
Medos Medizintechnik OG;Löwengasse 3, 1030 Wien;+43 1 7151474
Medtronic Österreich GmbH;Millennium Tower Handelskai 94-96/20. OG, 1200 Wien;+43 1 24044-0
Mercurtrade GmbH;Wienerbergstraße 11/12a, 1100 Wien;+43 1 8880228
Moderne Medizin Technik GmbH.-MMT;Fourniergasse 26-28, 1130 Wien;+43 1 8797700
Moser Healt Care GmbH;Handelskai 130, 1020 Wien;+43 1 24568-0
Mositech Medizintechnik GmbH;Ameisgasse 57, 1140 Wien;+43 1 9114697-0
NEUROTH Medical Division GmbH;Wiedner Hauptstraße 120-124/EG, 1050 Wien;+43 1 5455013
Novomed HandelsgesmbH;Baumgasse 62 - Eingang Karl Farkas Gasse 8, 1030 Wien;+43 1 79019-0
NVTec Neurovascular Technologies GmbH;Mariahilfer Straße 136/1.10, 1150 Wien;+43 1 2367289-5110
Orthorobot Medizintechnik GmbH;Waidhausenstraße 11-17/2, 1140 Wien;+43 1 9113638
OXYCARE Medizintechnik GmbH;Zieglergasse 81, 1070 Wien;+43 1 8904553
Pejcl Gerhard Medizintechnik Handels GmbH;Anton-Sattler-Gasse 101a, 1220 Wien;+43 664 1001216
Philips Austria GmbH - Health Systems;Kranichberggasse 4 - Euro Plaza, 1120 Wien;+43 1 60101-0
Plasmaspendezentrum Donaustadt GmbH;Siebeckstraße 7/Stiege III/3. Stock, 1220 Wien;+43 1 2024787
Rüsch Austria GesmbH;Lazarettgasse 24, 1090 Wien;+43 1 4024772-0
SAMA Medizintechnik e.U.;Mariannengasse 7/1-2, 1090 Wien;
Sanitas GesmbH;Leo-Mathauser-Gasse 70, 1230 Wien;+43 1 4056110
Dipl-Ing Schaller Christian;Jägerhausgasse 2b, 1120 Wien;+43 1 8045296
sense product GmbH;Landstraßer Hauptstraße 34, 1030 Wien;+43 1 7186960
Stago Österreich GmbH;Wienerbergstraße 11, 1100 Wien;+43 1 2530303-0
STINA Medical Solutions GmbH;Storchengasse 1, 1150 Wien;+43 1 9974100
Storz Karl Endoskop Austria GmbH;Neumayrgasse 21, 1160 Wien;+43 1 4952799-0
Tauber Medizintechnik - Stefan Tauber;Franzosengraben 11a/Top 10a, 1030 Wien;+43 664 2104337
The Antibody Lab GmbH;Divischgasse 4, 1210 Wien;+43 1 2910741
The Siesta Group Schlafanalyse GmbH;Schloßhofer Straße 11/3.OG, 1210 Wien;+43 1 9551213
Thommen Medical Austria GmbH;Simmeringer Hauptstraße 24, 1110 Wien;+43 1 93026-3014
Tiani Spirit GmbH;Donau-City-Straße 7, Obj.1, OG 34, Bereich C+D, DC Tower, 1220 Wien;+43 1 23511-8511
TissueGnostics GmbH;Taborstraße 10/2/8, 1020 Wien;+43 1 2161190
Transmantiner Karl Heinz Agentur;Anton-Baumgartner-Straße 44/B7/172, 1230 Wien;+43 664 3567070
Vifor Pharma Österreich GmbH;Linzer Straße 221, 1140 Wien;+43 1 4164777
VISTA MEDICAL Medizintechnik GmbH;Grünbergstraße 15/3/2, 1120 Wien;+43 1 7862222
Werfen Austria GmbH;Tillmanngasse 5, 1220 Wien;+43 1 25046-0
Ypsomed GmbH;Am Euro-Platz 2, 1120 Wien;00800 55000000
Mediserv - Gheorghe Zsigmond;Hans Czettel-Gasse 23a, 2483 Ebreichsdorf;+43 2254 74210
